STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C
abller,6,NA,0,0.00,7320.90,753.17,1971.64,194.80,271.03,24.50,258724.82,35667.67,25879.53,4636.80,1503.25,439.00
abobt,5,NA,2,1161.72,6872.94,207.20,1333.55,9.00,852.57,1.33,245940.35,26921.00,4699.96,940.00,1071.90,69.00
aboce,5,NA,2,117.14,9880.56,277.40,1908.26,20.00,852.57,1.33,281827.05,34378.40,9539.07,1638.25,1172.05,72.33
abone,5,NA,4,112.95,10318.68,304.40,1831.10,25.50,991.69,5.67,315842.84,37630.60,21464.40,3549.25,3376.00,275.00
abong,5,NA,2,295.62,7169.56,206.40,2696.79,26.50,1116.50,3.33,228388.29,28274.40,24792.88,4474.25,1941.41,179.67
aboos,5,NA,0,0.00,7594.48,477.60,1492.44,24.00,852.57,1.67,271612.52,33994.20,8785.59,1574.00,1308.13,147.00
abose,5,NA,5,53.08,9859.07,283.60,2727.60,29.50,1323.70,4.67,311244.56,40026.60,13125.25,2034.50,2035.43,163.67
abote,5,NA,3,78.25,9423.50,312.20,1827.31,26.25,900.62,2.67,336936.89,37497.00,16164.78,3040.00,1734.75,145.67
aboud,5,NA,2,1170.91,7505.69,226.60,2028.33,14.00,1657.23,2.67,211105.52,25090.40,14810.38,1720.00,2122.74,121.67
aboup,5,NA,1,2322.72,5201.41,169.00,2080.75,14.25,1729.34,2.67,193538.21,24099.40,15560.38,1734.75,2259.40,122.67
abown,5,NA,0,0.00,5778.84,180.20,1664.56,18.75,1037.63,4.67,230049.59,25923.60,8227.76,1097.25,2224.89,132.00
abows,5,NA,1,0.12,7400.89,450.40,1595.15,23.00,939.11,6.67,225451.31,28319.60,7603.43,1105.75,1284.29,122.00
acail,5,NA,1,4.88,6320.45,249.40,563.17,19.25,12.63,2.33,271133.07,36826.60,14174.40,2423.00,415.54,124.33
acald,5,NA,1,0.48,8994.40,300.40,1873.50,18.75,25.96,2.00,243330.44,31385.00,17966.44,2776.50,1191.94,347.00
acaner,6,NA,0,0.00,8035.93,805.83,2005.38,178.20,113.59,11.75,321850.71,41353.00,36366.69,5352.40,1523.55,269.50
achere,6,NA,1,1.43,5653.04,404.67,1043.62,55.20,115.55,3.50,338099.38,40536.00,54264.49,5226.20,8586.04,622.50
achewn,6,NA,0,0.00,3388.07,269.50,355.31,12.00,19.05,1.00,273908.04,30702.00,31230.98,1738.20,1171.50,261.50
achome,6,NA,0,0.00,4839.07,309.50,639.38,16.40,222.35,1.75,281709.21,31406.83,19599.47,2338.40,2818.13,237.25
acrong,6,NA,0,0.00,5574.88,412.50,1426.90,83.80,240.41,5.00,239196.19,32127.67,24689.48,4446.60,1277.23,231.25
acrser,6,NA,0,0.00,8062.24,800.00,1937.37,177.80,117.53,10.00,294872.08,42929.00,24927.63,4341.60,1003.00,169.50
actee,5,NA,1,26.77,10403.21,397.40,1055.46,25.00,32.94,1.33,386636.08,45936.40,18111.45,3272.00,1724.60,250.00
addds,5,NA,0,0.00,5487.62,421.40,530.79,32.50,38.63,1.00,228949.12,31259.80,5804.36,886.50,195.08,48.33
admed,5,NA,4,43.13,8403.27,346.00,1142.34,76.75,59.61,6.00,267722.26,32493.40,20838.52,2969.00,695.31,123.33
admpes,6,NA,0,0.00,7652.83,913.67,916.46,158.20,39.92,11.50,252416.94,34730.33,14649.48,3572.20,299.38,125.25
adost,5,NA,1,19.75,7889.41,239.00,1003.60,22.50,21.52,2.67,305446.88,37093.80,16505.99,2725.25,1038.33,163.67
adout,5,NA,2,1171.24,7039.90,217.40,1398.99,16.25,810.25,5.00,276282.51,30616.00,20441.85,1876.25,2580.91,227.67
