String,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,PhoWord,LengthOrtho,LengthPhono,FreqPerMill,avgfreq,category
hed,3,NaN,19,589.24,24676.35,61.67,2345.68,8,0,0,310801.1,32351,78414.23,5058,1805.07,317,,NaN,NaN,NaN,NaN,pseudo
han,3,NaN,20,593.66,19692.36,77.33,5933.15,9,0,0,304401,31056.67,51343.36,3799,4269.5,392,,NaN,NaN,NaN,NaN,pseudo
yer,3,NaN,7,753.31,11850.78,45.33,2636.6,3.5,0,0,281311.5,37299.67,34637.69,5651.5,282.95,59,,NaN,NaN,NaN,NaN,pseudo
aps,3,NaN,8,5.4,20257.12,29.33,14.9,2.5,0,0,241361.2,36326.67,3983.22,1063,602.9,121,,NaN,NaN,NaN,NaN,pseudo
tes,3,NaN,8,88.93,33020.12,55.67,355.74,4,0,0,392400.5,50855.33,34851.84,9685,1775.26,1045,,NaN,NaN,NaN,NaN,pseudo
tou,3,NaN,13,596.53,32853.64,57.33,3877.44,6.5,0,0,277739.8,30005,40123.94,2733.5,399.32,125,,NaN,NaN,NaN,NaN,pseudo
rew,3,NaN,17,115.69,6198.23,54.67,946.02,7.5,0,0,285502,35924,30758.41,3841,389.86,117,,NaN,NaN,NaN,NaN,pseudo
bis,3,NaN,10,642.46,13584.56,54,3179.74,4.5,0,0,211818.8,36618,18584.38,2951,91.5,58,,NaN,NaN,NaN,NaN,pseudo
fet,3,NaN,20,170.93,13805.17,67,1628.49,9,0,0,336103,36521,10780.92,1676.5,144.21,36,,NaN,NaN,NaN,NaN,pseudo
ged,3,NaN,15,130.52,17906.27,60.33,846.13,6.5,0,0,257237.5,33783,26146.68,4632,1130.48,244,,NaN,NaN,NaN,NaN,pseudo
nop,3,NaN,19,382.05,11929.71,66,3625.94,8.5,0,0,229473.5,29476.33,12008.76,1309.5,36.53,36,,NaN,NaN,NaN,NaN,pseudo
che,3,NaN,4,16431.17,49872.23,36.67,32859.39,1.5,0,0,294209.9,32833.33,67480.92,2769.5,2439.8,742,,NaN,NaN,NaN,NaN,pseudo
ois,3,NaN,5,1190.31,14471.68,48.67,2975.41,2,0,0,297426.3,44190.67,18699.67,2683.5,232.08,109,,NaN,NaN,NaN,NaN,pseudo
boe,3,NaN,19,21.96,36655.07,74,204.6,8,0,0,303571.9,35793.33,4404.28,829,4.16,4,,NaN,NaN,NaN,NaN,pseudo
mry,3,NaN,9,203.28,5355.74,37,394.59,4,0,0,141789.2,21057,4532.9,422.5,0,0,,NaN,NaN,NaN,NaN,pseudo
jad,3,NaN,17,405.56,23235.56,68.67,3447.28,8.5,0,0,184558.3,21378,8160.44,952,3.75,3,,NaN,NaN,NaN,NaN,pseudo
ouy,3,NaN,4,981.93,9325.63,48.33,1963.85,2,0,0,173593.2,20286.33,20700.75,1622.5,0,0,,NaN,NaN,NaN,NaN,pseudo
noy,3,NaN,14,518.5,14118.13,65,3628.11,6.5,0,0,229864.2,27089.33,9230.27,774.5,28.08,8,,NaN,NaN,NaN,NaN,pseudo
